date,temperature,pressure,110,stdev [110],direction [110],320,stdev [320],direction [320],500,stdev [500],direction [500],800,stdev [800],direction [800],1000,stdev [1000],direction [1000],1500,stdev [1500],direction [1500],1900,stdev [1900],direction [1900],3200,stdev [3200],direction [3200],4200,stdev [4200],direction [4200],5600,stdev [5600],direction [5600],7200,stdev [7200],direction [7200],9200,stdev [9200],direction [9200],10400,stdev [10400],direction [10400],11800,stdev [11800],direction [11800],13500,stdev [13500],direction [13500],15800,stdev [15800],direction [15800],17700,stdev [17700],direction [17700],19300,stdev [19300],direction [19300],22000,stdev [22000],direction [22000]
2021-08-03 15:00:00,19.231499,1015.0,6.0007696,0.0,294.90472,5.9516907,0.0,293.9625,9.785834,0.0,289.9832,10.783157,0.0,288.8,11.865928,0.0,287.74475,17.60975,0.0,285.3956,24.51303,0.0,277.59454,30.367153,0.0,280.8138,27.006567,0.0,285.17297,26.022947,0.0,288.88617,25.820492,0.0,287.52567,26.660465,0.0,295.94223,28.2879,0.0,290.0953,29.301233,0.0,288.03436,19.056683,0.0,287.81897,11.681025,0.0,289.44012,12.763069,0.0,246.0375,2.0489872,0.0,108.43504,19.780952,0.0,58.392544
2021-08-03 17:00:00,20.8815,1015.1,5.8476963,0.0,291.4478,5.799766,0.0,290.3232,9.452012,0.0,288.03436,10.443146,0.0,286.92758,11.240202,0.0,285.1541,14.525625,0.0,280.73883,21.348738,0.0,279.46225,26.171356,0.0,279.58286,23.251326,0.0,284.30032,23.585615,0.0,290.92456,25.796091,0.0,295.27768,28.071875,0.0,288.85324,30.120811,0.0,288.8248,29.508263,0.0,289.23077,19.330107,0.0,283.57043,12.730133,0.0,284.7436,5.9737735,0.0,220.60121,4.5816746,0.0,98.13002,16.25042,0.0,113.49858
2021-08-03 18:00:00,20.981499,1014.8,5.337602,0.0,303.11136,5.5311947,0.0,303.11136,8.791066,0.0,298.3929,9.725112,0.0,293.70264,10.582355,0.0,289.9832,14.283952,0.0,280.92276,19.130358,0.0,278.9305,22.98859,0.0,277.53934,22.51354,0.0,285.94547,22.314215,0.0,295.82092,24.673075,0.0,299.93143,28.161465,0.0,293.0255,30.734808,0.0,288.43503,28.926302,0.0,285.59286,18.326698,0.0,278.13,10.467898,0.0,291.80148,8.247014,0.0,224.9999,3.9413056,0.0,99.46225,13.66845,0.0,121.42951
2021-08-03 19:00:00,21.5815,1014.6,5.1318846,0.0,307.30402,5.1984076,0.0,305.53775,8.2448435,0.0,300.46545,9.22733,0.0,296.56497,9.73758,0.0,291.80148,12.546428,0.0,281.3099,17.567236,0.0,272.6425,22.28146,0.0,276.91113,21.822412,0.0,291.3707,22.46423,0.0,303.23172,23.36205,0.0,303.6901,26.470825,0.0,291.54105,31.135172,0.0,282.01144,27.869242,0.0,287.5925,19.823357,0.0,281.3099,9.566818,0.0,298.30066,8.813027,0.0,233.97253,5.4980097,0.0,135.0001,13.357763,0.0,129.09386
2021-08-04 11:00:00,9.781501,1017.2,2.1732793,0.0,153.43501,2.0738919,0.0,150.9455,7.986455,0.0,173.99109,7.3009048,0.0,210.37904,7.8721337,0.0,230.82635,8.179271,0.0,263.08887,8.40841,0.0,264.47256,10.082235,0.0,285.4222,5.927125,0.0,296.56497,7.9091973,0.0,325.0079,9.63242,0.0,340.3461,12.3790045,0.0,6.0089183,13.357763,0.0,14.036275,16.21162,0.0,357.70944,12.730133,0.0,345.25638,8.448192,0.0,327.52884,11.912354,0.0,44.999897,0.91633505,0.0,224.9999,14.775457,0.0,105.25517
2021-08-04 12:00:00,13.4315,1017.6,3.7541788,0.0,158.74942,3.6314068,0.0,160.55988,9.426558,0.0,176.186,7.7703834,0.0,206.56499,7.8461313,0.0,228.50363,8.325995,0.0,251.0295,9.321077,0.0,259.9921,10.497044,0.0,286.6993,6.1533084,0.0,291.03757,7.3877287,0.0,322.12497,9.024853,0.0,338.9624,11.091061,0.0,6.70975,11.947547,0.0,12.528798,16.846615,0.0,360.0,11.185293,0.0,349.99207,7.9091973,0.0,325.0079,12.580849,0.0,34.50859,3.4892995,0.0,291.80148,15.401516,0.0,104.62092
2021-08-04 13:00:00,16.231499,1017.2,4.058857,0.0,163.30067,4.2060695,0.0,163.30067,8.425667,0.0,172.87508,8.481494,0.0,193.32454,7.7313437,0.0,217.87505,8.484463,0.0,240.4613,8.974477,0.0,254.29129,9.759564,0.0,285.94547,5.8941045,0.0,282.99463,5.9737735,0.0,310.60123,6.978599,0.0,338.19852,9.094364,0.0,4.085537,10.447826,0.0,7.12493,16.21162,0.0,2.2905633,11.481644,0.0,343.61038,9.001563,0.0,329.74365,11.315902,0.0,23.629398,1.4488529,0.0,206.56499,14.775457,0.0,105.25517
2021-08-04 14:00:00,18.7815,1017.4,4.8634863,0.0,182.29056,5.039882,0.0,182.29056,8.384085,0.0,184.28908,10.061258,0.0,193.73628,10.470729,0.0,212.6609,11.912756,0.0,231.7098,10.529133,0.0,247.3801,8.816284,0.0,278.74606,5.3197575,0.0,265.23645,5.343106,0.0,284.03625,6.3815346,0.0,336.0375,8.448192,0.0,355.60138,10.387376,0.0,356.42374,16.846615,0.0,360.0,13.357763,0.0,345.9637,9.163349,0.0,315.0001,12.910246,0.0,17.525654,0.6479467,0.0,90.0,16.198666,0.0,106.26028
2021-08-04 15:00:00,20.7815,1017.4,6.232425,0.0,183.57626,6.257443,0.0,183.69131,10.138847,0.0,188.29706,10.861611,0.0,191.53459,12.439752,0.0,204.70241,13.264205,0.0,229.51407,11.882089,0.0,248.68202,8.43873,0.0,276.84268,5.8941045,0.0,257.00537,5.223913,0.0,277.1249,5.343106,0.0,345.9637,8.423307,0.0,360.0,9.7192,0.0,360.0,13.10391,0.0,8.530692,9.911678,0.0,348.6901,9.209053,0.0,309.28937,11.072118,0.0,20.556128,2.0489872,0.0,108.43504,13.9872465,0.0,103.39252
2021-08-04 16:00:00,22.7815,1016.8,6.487884,0.0,188.61557,6.4960575,0.0,187.12492,10.496636,0.0,192.65256,11.277099,0.0,195.6423,11.842223,0.0,203.6294,13.787904,0.0,235.17543,13.670583,0.0,260.9098,7.737419,0.0,265.03033,7.31279,0.0,244.98314,5.1835737,0.0,270.0,4.0979743,0.0,341.56494,8.522408,0.0,351.2539,9.805212,0.0,352.40543,11.034134,0.0,3.3664,9.911678,0.0,348.6901,9.63242,0.0,312.27362,9.63242,0.0,19.653913,0.91633505,0.0,135.0001,11.823917,0.0,99.46225
